Estado,Bioma,Latitude,Longitude,Mês,Temperatura,Umidade,Precipitacao,NDVI,Focos_Calor,Declividade,Distancia_Rios,Uso_Solo,Nivel_Risco
MT,Cerrado/Amazônia,-12.07391,-58.93955,Dezembro,27.4,73.9,19.7,0.728,26,8.0,3698.5,Cerrado/Savana,Baixo
CE,Caatinga,-5.58968,-40.77978,Junho,29.1,15.7,33.7,0.797,49,35.8,4187.3,Floresta,Médio
MT,Cerrado/Amazônia,-13.16515,-54.74945,Dezembro,21.5,28.5,177.9,0.095,42,5.6,2184.2,Pastagem,Médio
PR,Mata Atlântica,-22.69032,-49.64438,Novembro,39.1,49.3,8.2,0.865,1,12.2,2287.3,Floresta,Baixo
AM,Amazônia,-4.16339,-60.85857,Abril,41.2,61.4,25.0,0.604,57,30.3,1727.4,Área Urbana,Médio
CE,Caatinga,-4.93146,-39.58162,Janeiro,36.2,38.8,53.3,0.692,50,24.2,2500.3,Pastagem,Médio
MG,Cerrado,-18.62604,-41.91237,Abril,29.7,89.0,1.1,-0.173,0,29.2,4.4,Corpo d'Água,Baixo
MT,Cerrado/Amazônia,-10.63124,-55.80266,Setembro,40.8,13.5,172.3,0.625,86,32.4,4074.6,Floresta,Médio
RS,Pampa,-30.28545,-51.17066,Janeiro,19.2,12.8,98.5,0.727,13,35.8,924.0,Floresta,Médio
MG,Cerrado,-17.71415,-45.33241,Outubro,27.9,33.7,277.1,0.16,68,12.2,2033.0,Cerrado/Savana,Alto
PA,Amazônia,-4.13253,-54.11187,Março,29.5,55.1,3.8,0.835,98,19.0,2311.4,Área Urbana,Médio
PA,Amazônia,-4.95223,-56.16457,Maio,28.3,57.3,38.0,0.387,6,27.5,2445.1,Pastagem,Baixo
SP,Mata Atlântica,-24.37593,-43.51348,Julho,36.7,52.0,157.7,0.011,15,31.8,2714.4,Área Urbana,Alto
AM,Amazônia,-1.91571,-59.9168,Setembro,33.1,44.8,134.9,0.841,22,23.1,4010.7,Floresta,Médio
PR,Mata Atlântica,-25.89096,-51.39434,Junho,18.4,31.4,33.4,0.772,35,20.5,4432.4,Pastagem,Baixo
CE,Caatinga,-3.17701,-38.70036,Março,24.4,44.1,108.7,0.747,72,27.7,804.2,Pastagem,Médio
BA,Caatinga,-11.81715,-39.25413,Julho,24.2,21.8,189.4,0.8,57,15.3,3566.3,Pastagem,Médio
RS,Pampa,-31.59068,-51.50636,Abril,30.3,19.8,4.1,0.289,46,35.7,2400.8,Cerrado/Savana,Médio
MT,Cerrado/Amazônia,-15.31113,-58.56266,Março,22.9,35.5,151.7,0.541,38,8.5,2094.4,Pastagem,Médio
PR,Mata Atlântica,-23.27872,-52.92602,Julho,18.2,94.6,34.9,0.178,10,35.4,575.6,Pastagem,Médio
MG,Cerrado,-17.40671,-42.06227,Novembro,32.6,37.8,354.4,0.609,43,25.7,330.0,Floresta,Alto
PA,Amazônia,-5.80691,-51.9502,Novembro,38.0,89.6,92.7,0.767,8,24.0,4889.3,Floresta,Médio
RS,Pampa,-28.91503,-53.06224,Julho,40.2,43.3,4.1,0.123,70,18.8,3215.4,Cerrado/Savana,Médio
BA,Caatinga,-13.50468,-43.20549,Abril,41.3,47.3,62.0,0.504,43,6.2,2267.6,Pastagem,Baixo
CE,Caatinga,-5.90508,-38.57583,Dezembro,36.1,77.8,406.9,0.804,66,34.6,3811.2,Pastagem,Alto
SP,Mata Atlântica,-24.4428,-46.68273,Julho,18.8,18.0,157.3,0.033,51,2.1,464.8,Cerrado/Savana,Médio
BA,Caatinga,-14.14369,-39.86037,Novembro,38.0,25.5,42.9,0.618,70,10.8,3041.2,Cerrado/Savana,Médio
RS,Pampa,-30.84766,-48.94553,Fevereiro,25.8,92.8,102.8,0.245,2,4.4,3306.5,Cerrado/Savana,Médio
BA,Caatinga,-12.48861,-43.8105,Janeiro,34.7,53.0,109.7,0.645,27,4.3,2265.8,Floresta,Médio
RS,Pampa,-30.28654,-52.82417,Dezembro,29.3,13.8,2.8,0.265,1,15.6,1270.5,Pastagem,Baixo
RS,Pampa,-29.14598,-51.62204,Fevereiro,37.4,14.0,23.6,0.109,61,6.4,4773.4,Agricultura,Médio
GO,Cerrado,-15.58518,-50.39403,Abril,26.5,87.1,96.3,0.159,31,23.3,1512.7,Área Urbana,Médio
MT,Cerrado/Amazônia,-13.51301,-58.38043,Agosto,16.7,71.0,61.9,-0.006,0,25.1,3.4,Corpo d'Água,Médio
PA,Amazônia,-4.28567,-52.98973,Março,30.0,49.0,25.3,0.626,65,35.3,3156.1,Floresta,Médio
GO,Cerrado,-16.30204,-50.13732,Outubro,19.6,23.9,177.8,0.856,31,12.0,2875.9,Floresta,Médio
CE,Caatinga,-6.11829,-40.11703,Junho,41.1,80.6,80.6,0.241,53,12.4,3776.3,Agricultura,Baixo
GO,Cerrado,-15.52156,-51.39121,Junho,29.2,37.6,44.5,0.665,37,9.9,3771.4,Pastagem,Baixo
AM,Amazônia,-4.80403,-60.15257,Setembro,29.9,45.6,21.2,0.878,53,31.3,3105.0,Floresta,Baixo
AM,Amazônia,-4.01413,-63.04734,Setembro,39.5,68.0,113.4,0.858,7,17.1,1045.6,Pastagem,Médio
PA,Amazônia,-7.55581,-51.45398,Abril,31.9,40.0,131.7,0.325,33,22.1,4436.9,Cerrado/Savana,Médio
BA,Caatinga,-14.16389,-41.72294,Setembro,23.2,94.5,132.9,-0.069,0,15.0,23.8,Corpo d'Água,Alto
MT,Cerrado/Amazônia,-15.24228,-55.69274,Junho,23.0,85.2,29.9,0.64,44,6.3,479.0,Área Urbana,Baixo
PA,Amazônia,-3.77472,-52.00322,Fevereiro,28.5,77.8,108.6,0.72,102,4.1,1514.5,Floresta,Médio
RS,Pampa,-32.33172,-49.97186,Outubro,38.4,42.4,283.0,0.759,7,34.7,2421.3,Floresta,Alto
MG,Cerrado,-19.75102,-46.30646,Novembro,36.5,34.5,52.3,0.397,12,10.6,1043.8,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-13.25519,-57.52505,Junho,41.0,34.3,28.4,0.837,17,37.7,1675.0,Floresta,Baixo
MT,Cerrado/Amazônia,-13.43757,-55.00949,Fevereiro,16.9,39.6,177.5,0.667,52,37.9,2573.3,Floresta,Alto
RS,Pampa,-27.01226,-53.2837,Agosto,22.2,51.9,23.4,0.212,8,19.2,1621.5,Área Urbana,Baixo
RS,Pampa,-31.06325,-51.01588,Abril,17.2,45.4,35.1,0.856,22,38.3,455.7,Agricultura,Médio
SP,Mata Atlântica,-24.13307,-46.0309,Maio,35.3,21.3,12.7,0.126,82,1.1,994.1,Pastagem,Médio
PA,Amazônia,-4.16602,-51.60595,Agosto,18.8,23.9,37.4,0.087,50,3.7,3973.1,Agricultura,Médio
RS,Pampa,-29.1154,-48.74136,Novembro,17.7,39.1,63.4,0.744,61,9.7,4772.1,Floresta,Baixo
AM,Amazônia,-5.85342,-59.99984,Agosto,30.2,57.8,8.0,-0.066,7,8.4,750.7,Agricultura,Baixo
CE,Caatinga,-5.71949,-38.47231,Dezembro,26.1,60.4,246.4,0.416,25,10.1,3408.3,Pastagem,Alto
MG,Cerrado,-20.0545,-45.91274,Dezembro,34.3,51.3,86.5,0.494,23,18.1,4528.8,Agricultura,Baixo
PA,Amazônia,-4.54682,-55.6231,Junho,28.1,72.8,106.4,0.836,23,2.5,1502.7,Floresta,Médio
PR,Mata Atlântica,-23.40584,-49.66005,Abril,26.5,72.7,55.7,0.663,21,22.2,4149.0,Agricultura,Baixo
AM,Amazônia,-3.20332,-62.00736,Janeiro,26.5,46.3,133.0,0.036,15,12.4,4525.6,Área Urbana,Médio
BA,Caatinga,-13.83045,-40.68833,Dezembro,38.5,20.6,67.8,0.578,33,2.9,1504.5,Pastagem,Baixo
RS,Pampa,-29.5085,-52.61226,Julho,25.7,55.1,171.9,0.855,29,30.1,293.1,Cerrado/Savana,Alto
PR,Mata Atlântica,-25.47722,-51.789,Agosto,24.0,42.4,206.7,-0.099,35,26.1,4584.8,Área Urbana,Alto
RS,Pampa,-30.6192,-53.27437,Setembro,24.1,21.7,133.7,0.811,21,31.7,1659.1,Floresta,Médio
MT,Cerrado/Amazônia,-11.63147,-57.28527,Fevereiro,20.3,93.5,81.1,0.603,72,37.6,78.6,Floresta,Médio
AM,Amazônia,-3.44695,-63.0874,Janeiro,38.2,41.4,182.9,0.674,30,23.4,2379.8,Floresta,Alto
MT,Cerrado/Amazônia,-11.96709,-56.62196,Abril,19.0,63.2,81.8,0.139,72,31.5,588.2,Pastagem,Médio
SP,Mata Atlântica,-21.73082,-45.9091,Maio,39.5,51.7,14.2,0.347,28,8.0,4509.5,Agricultura,Baixo
MT,Cerrado/Amazônia,-12.98403,-58.02958,Outubro,22.7,22.1,14.8,0.85,50,16.4,783.4,Agricultura,Médio
SP,Mata Atlântica,-22.25107,-47.05386,Dezembro,39.3,14.7,356.1,-0.089,62,21.2,1529.0,Cerrado/Savana,Alto
SP,Mata Atlântica,-23.80758,-46.88796,Janeiro,36.4,94.5,28.8,-0.051,0,21.6,37.0,Corpo d'Água,Baixo
PR,Mata Atlântica,-25.49241,-51.78181,Maio,30.7,31.0,203.1,0.142,28,28.7,4033.7,Cerrado/Savana,Médio
RS,Pampa,-27.14069,-52.80173,Junho,33.1,89.1,34.0,-0.152,0,31.8,21.6,Corpo d'Água,Médio
BA,Caatinga,-13.80176,-39.62351,Março,23.8,91.3,67.6,0.83,43,26.7,2492.0,Área Urbana,Médio
MT,Cerrado/Amazônia,-13.24221,-57.59593,Dezembro,30.5,49.3,127.7,0.474,27,1.9,4933.7,Cerrado/Savana,Baixo
AM,Amazônia,-1.9177,-64.35029,Julho,22.9,12.5,20.8,0.779,21,14.0,2585.8,Floresta,Baixo
SP,Mata Atlântica,-22.31782,-46.56158,Junho,25.9,38.9,160.4,0.87,30,22.9,3955.6,Floresta,Médio
RS,Pampa,-29.3328,-50.56095,Abril,35.6,59.7,140.5,0.29,38,20.3,1815.9,Pastagem,Médio
MG,Cerrado,-19.45197,-42.97322,Março,21.6,37.9,94.0,-0.053,88,1.8,4707.0,Agricultura,Médio
PA,Amazônia,-6.36521,-52.11673,Maio,37.6,12.3,100.1,0.596,67,39.2,3428.2,Floresta,Médio
PR,Mata Atlântica,-23.03341,-49.48165,Março,25.1,47.8,13.4,0.026,11,38.2,394.7,Cerrado/Savana,Baixo
BA,Caatinga,-12.98069,-41.0053,Outubro,29.4,19.0,68.7,0.742,50,31.0,551.5,Pastagem,Médio
GO,Cerrado,-16.36923,-46.08431,Setembro,40.4,62.6,10.9,0.449,38,2.2,4455.1,Cerrado/Savana,Baixo
PR,Mata Atlântica,-23.71981,-51.42391,Setembro,33.4,62.7,44.2,0.745,13,17.2,4049.7,Pastagem,Baixo
MG,Cerrado,-18.04116,-43.93934,Junho,32.4,13.2,276.7,0.856,27,16.4,1657.2,Pastagem,Alto
PA,Amazônia,-4.88488,-53.09,Novembro,34.2,34.7,102.5,0.843,30,22.3,2612.8,Cerrado/Savana,Médio
MG,Cerrado,-19.10149,-44.77778,Junho,39.8,45.2,162.9,0.0,8,2.2,4265.2,Agricultura,Médio
MT,Cerrado/Amazônia,-14.38954,-55.84259,Dezembro,21.7,56.8,102.4,0.845,3,16.9,526.1,Agricultura,Médio
SP,Mata Atlântica,-24.75256,-48.21993,Abril,31.6,35.2,25.9,0.696,28,30.3,699.3,Pastagem,Baixo
BA,Caatinga,-12.60153,-41.89518,Abril,25.8,34.5,108.4,0.832,36,39.9,3580.5,Floresta,Médio
CE,Caatinga,-4.72555,-40.50231,Fevereiro,15.3,93.6,169.0,-0.01,15,23.8,420.2,Cerrado/Savana,Alto
SP,Mata Atlântica,-24.13881,-45.59182,Outubro,18.4,13.6,17.9,0.08,32,37.6,1769.3,Pastagem,Baixo
CE,Caatinga,-4.15317,-38.76571,Abril,23.8,94.1,203.7,0.727,57,39.9,1266.5,Floresta,Alto
PA,Amazônia,-5.48905,-52.47662,Agosto,30.3,14.1,97.3,0.113,10,17.4,3803.8,Agricultura,Baixo
RS,Pampa,-29.68434,-52.21406,Outubro,38.8,34.5,0.5,0.62,41,26.7,22.2,Floresta,Médio
GO,Cerrado,-13.61893,-47.84262,Fevereiro,36.4,52.0,88.0,0.718,28,8.5,585.8,Floresta,Médio
AM,Amazônia,-2.27863,-62.85879,Setembro,29.9,22.2,60.4,0.813,92,19.0,504.0,Cerrado/Savana,Médio
SP,Mata Atlântica,-22.74128,-45.16245,Janeiro,17.0,21.5,42.2,0.866,16,3.1,1597.2,Floresta,Baixo
BA,Caatinga,-14.4148,-39.15823,Fevereiro,22.7,31.8,177.0,0.602,53,1.2,1170.1,Floresta,Alto
MG,Cerrado,-21.11908,-43.49309,Fevereiro,24.9,92.7,275.7,0.234,11,35.7,1149.1,Cerrado/Savana,Alto
BA,Caatinga,-10.40008,-41.8696,Novembro,31.8,42.3,172.6,0.127,6,34.3,1858.3,Pastagem,Alto
PA,Amazônia,-5.7657,-51.72851,Junho,16.8,58.1,225.1,0.395,21,12.5,1078.1,Cerrado/Savana,Alto
CE,Caatinga,-2.32218,-40.0716,Julho,29.3,69.9,287.3,0.869,5,18.3,540.0,Floresta,Alto
MG,Cerrado,-19.68143,-45.18566,Março,39.3,73.1,292.5,0.797,44,19.7,2920.4,Floresta,Alto
AM,Amazônia,-5.79877,-60.87336,Novembro,34.0,68.5,14.6,0.246,74,20.8,4759.2,Pastagem,Baixo
AM,Amazônia,-4.24112,-62.53251,Setembro,36.5,38.6,73.1,0.118,33,5.4,3039.8,Agricultura,Baixo
SP,Mata Atlântica,-22.18557,-47.19537,Maio,33.4,19.5,0.0,0.175,24,31.0,3787.5,Agricultura,Médio
PA,Amazônia,-4.40136,-54.28713,Maio,20.6,33.9,84.7,0.573,57,13.9,4861.2,Pastagem,Baixo
RS,Pampa,-28.59192,-50.71714,Novembro,18.0,27.9,309.6,0.27,90,1.3,774.3,Pastagem,Alto
PA,Amazônia,-5.67287,-52.53366,Dezembro,37.4,21.6,26.6,-0.1,82,27.1,2304.5,Área Urbana,Médio
CE,Caatinga,-7.03014,-39.488,Abril,33.8,12.1,122.5,0.824,9,33.2,2913.4,Floresta,Médio
BA,Caatinga,-12.7925,-43.58915,Setembro,30.5,89.5,124.1,0.649,16,36.7,1617.3,Floresta,Médio
AM,Amazônia,-4.47661,-62.41387,Agosto,20.1,88.3,21.0,0.825,53,27.0,3069.5,Cerrado/Savana,Baixo
BA,Caatinga,-13.49094,-45.31817,Dezembro,31.3,14.3,32.7,0.279,6,7.7,3122.9,Pastagem,Baixo
BA,Caatinga,-10.96542,-41.91313,Abril,15.8,24.7,74.4,0.672,84,23.6,4212.7,Floresta,Baixo
BA,Caatinga,-15.99093,-38.49756,Abril,18.2,21.9,25.0,0.318,22,36.5,4164.3,Cerrado/Savana,Baixo
AM,Amazônia,-1.60791,-62.74347,Fevereiro,23.4,33.9,105.5,0.673,21,14.0,721.2,Floresta,Médio
PR,Mata Atlântica,-26.15375,-50.94521,Setembro,27.0,27.3,79.5,0.494,43,38.1,852.8,Pastagem,Médio
MT,Cerrado/Amazônia,-12.37651,-56.10687,Março,18.3,90.4,87.9,0.765,32,3.9,1119.6,Floresta,Baixo
CE,Caatinga,-6.35943,-38.00334,Abril,18.2,17.2,17.3,0.588,3,29.1,1313.5,Área Urbana,Médio
PR,Mata Atlântica,-25.60019,-50.52885,Julho,34.6,28.0,87.4,0.687,15,4.8,2826.8,Floresta,Baixo
CE,Caatinga,-6.29541,-35.67778,Outubro,30.4,16.9,6.1,0.072,51,32.0,1644.2,Agricultura,Médio
MG,Cerrado,-17.46671,-40.22365,Agosto,29.4,93.3,256.0,0.062,35,3.9,4765.3,Cerrado/Savana,Médio
PA,Amazônia,-4.2986,-53.5722,Agosto,27.2,88.1,50.5,0.447,61,13.0,600.3,Área Urbana,Médio
PA,Amazônia,-4.29593,-51.37913,Abril,41.4,70.9,232.8,0.559,25,31.1,1240.0,Agricultura,Alto
GO,Cerrado,-15.27001,-48.89441,Julho,16.3,46.2,145.1,0.844,21,18.4,4342.9,Floresta,Médio
PA,Amazônia,-4.39741,-54.22052,Outubro,19.9,26.2,174.4,0.704,6,35.3,2925.8,Floresta,Alto
AM,Amazônia,-5.06729,-63.41133,Janeiro,32.5,28.8,45.3,0.665,13,16.1,2741.7,Pastagem,Baixo
RS,Pampa,-29.83869,-51.56476,Junho,18.7,47.7,31.0,0.798,18,39.8,2975.8,Floresta,Baixo
SP,Mata Atlântica,-25.01336,-45.46703,Junho,30.9,75.3,62.7,0.79,3,0.7,1268.8,Área Urbana,Médio
GO,Cerrado,-15.40543,-49.58661,Junho,30.3,32.5,2.9,0.885,35,27.8,3809.6,Floresta,Baixo
SP,Mata Atlântica,-23.93698,-47.19734,Dezembro,41.2,36.4,301.2,0.529,66,36.6,2487.7,Cerrado/Savana,Alto
CE,Caatinga,-6.362,-38.24939,Fevereiro,38.9,61.0,58.7,0.782,48,21.4,222.6,Floresta,Médio
SP,Mata Atlântica,-24.60524,-46.31591,Agosto,40.5,30.2,500.0,-0.06,36,39.5,894.0,Cerrado/Savana,Alto
SP,Mata Atlântica,-21.05698,-47.12839,Maio,18.1,59.7,172.0,0.601,33,28.3,4085.0,Pastagem,Médio
GO,Cerrado,-14.38895,-48.98694,Maio,38.4,42.9,10.1,0.017,52,17.2,1731.8,Pastagem,Médio
MG,Cerrado,-18.0428,-43.90448,Fevereiro,18.5,12.9,129.5,0.027,26,20.6,3869.5,Agricultura,Médio
BA,Caatinga,-12.72236,-41.64784,Abril,32.1,44.2,37.9,0.088,14,35.1,3320.2,Agricultura,Baixo
PA,Amazônia,-6.36217,-52.66781,Dezembro,34.4,88.2,33.5,0.673,99,38.3,1514.3,Floresta,Baixo
PA,Amazônia,-6.41784,-51.22152,Setembro,19.3,34.9,35.6,0.525,19,22.2,643.9,Agricultura,Médio
AM,Amazônia,-6.01925,-61.49842,Setembro,32.1,37.4,297.3,0.849,39,12.3,4036.7,Floresta,Alto
GO,Cerrado,-15.32512,-49.47098,Junho,16.4,15.6,83.2,0.604,18,9.6,3219.0,Floresta,Baixo
AM,Amazônia,-1.93325,-62.64919,Novembro,22.9,62.3,132.8,0.677,35,19.1,1511.0,Floresta,Médio
RS,Pampa,-29.64685,-53.80481,Setembro,39.9,82.2,39.6,0.744,66,11.9,2621.1,Área Urbana,Baixo
RS,Pampa,-30.65298,-49.9464,Abril,19.6,40.0,88.8,0.827,30,16.8,3063.4,Pastagem,Baixo
AM,Amazônia,-5.47874,-61.98038,Novembro,16.8,30.4,51.7,0.387,84,33.4,20.6,Pastagem,Médio
GO,Cerrado,-16.84628,-50.00648,Janeiro,27.0,91.3,46.5,0.467,85,18.9,3355.9,Pastagem,Baixo
AM,Amazônia,-4.39652,-64.09079,Fevereiro,38.0,73.3,34.0,0.157,79,25.6,3283.8,Cerrado/Savana,Baixo
PA,Amazônia,-4.961,-52.8044,Janeiro,17.1,58.2,63.1,0.414,23,3.6,422.1,Cerrado/Savana,Médio
PR,Mata Atlântica,-23.97106,-50.35834,Agosto,24.6,36.0,129.5,0.716,29,30.5,3940.9,Floresta,Médio
MT,Cerrado/Amazônia,-10.84211,-56.71977,Setembro,39.3,28.8,30.1,0.192,42,19.3,4127.2,Cerrado/Savana,Médio
SP,Mata Atlântica,-21.64707,-48.09366,Outubro,18.2,70.8,403.8,0.202,2,14.4,1457.9,Pastagem,Alto
MT,Cerrado/Amazônia,-11.31656,-56.23091,Dezembro,23.4,54.4,16.0,0.482,74,24.4,819.4,Pastagem,Baixo
GO,Cerrado,-15.48036,-49.1729,Junho,36.0,54.3,78.5,0.615,34,4.1,3435.5,Floresta,Baixo
MT,Cerrado/Amazônia,-14.12111,-58.71512,Fevereiro,29.7,16.3,10.7,0.788,44,16.6,625.5,Cerrado/Savana,Baixo
RS,Pampa,-27.46526,-51.48308,Junho,37.5,53.5,2.8,0.669,38,32.4,4291.6,Cerrado/Savana,Baixo
CE,Caatinga,-5.37449,-41.30346,Setembro,18.0,79.9,307.2,0.176,28,10.5,2405.8,Pastagem,Alto
SP,Mata Atlântica,-25.77267,-46.76248,Dezembro,39.9,90.5,199.5,0.142,16,36.6,4549.9,Agricultura,Alto
BA,Caatinga,-13.09238,-41.6974,Março,40.2,19.1,142.2,0.539,73,24.1,3214.4,Pastagem,Médio
GO,Cerrado,-15.69927,-46.10581,Setembro,19.2,63.6,240.5,0.081,33,21.6,1432.6,Pastagem,Alto
SP,Mata Atlântica,-24.05787,-44.26009,Fevereiro,15.9,58.3,194.9,0.722,43,16.0,2345.5,Floresta,Alto
MT,Cerrado/Amazônia,-10.21696,-55.78956,Novembro,41.7,85.7,125.0,0.339,69,29.7,2651.4,Agricultura,Médio
RS,Pampa,-30.38269,-53.27221,Maio,28.0,73.9,225.5,0.368,23,22.6,4077.6,Agricultura,Alto
MG,Cerrado,-17.79308,-43.02178,Novembro,30.4,92.0,59.5,0.688,40,31.9,4310.7,Floresta,Baixo
PR,Mata Atlântica,-22.26847,-52.97494,Fevereiro,31.6,91.6,96.6,0.8,7,13.3,3418.2,Pastagem,Baixo
BA,Caatinga,-12.94529,-43.1158,Julho,36.3,29.2,179.7,-0.1,84,28.1,1478.0,Área Urbana,Alto
PR,Mata Atlântica,-25.84022,-50.55342,Novembro,36.9,71.7,10.6,0.683,22,37.7,2647.6,Cerrado/Savana,Baixo
SP,Mata Atlântica,-24.56896,-47.86641,Outubro,20.2,55.1,234.8,0.735,90,11.2,661.8,Área Urbana,Alto
RS,Pampa,-28.83451,-50.55389,Setembro,21.4,28.2,20.5,0.71,22,39.2,1158.2,Floresta,Médio
RS,Pampa,-29.50498,-52.20933,Julho,38.7,26.6,239.9,0.153,129,16.4,1522.3,Pastagem,Alto
MT,Cerrado/Amazônia,-10.74047,-56.89826,Dezembro,37.1,16.9,44.8,0.466,55,1.5,373.1,Floresta,Médio
PA,Amazônia,-1.96971,-52.48825,Maio,31.7,77.6,47.5,0.691,22,14.3,4426.1,Floresta,Baixo
MT,Cerrado/Amazônia,-16.18002,-60.48681,Abril,41.9,37.6,9.2,0.358,16,6.0,622.0,Área Urbana,Baixo
PA,Amazônia,-4.60408,-50.77926,Dezembro,34.8,82.8,260.5,0.404,7,12.2,3487.2,Cerrado/Savana,Alto
PA,Amazônia,-6.71574,-49.57853,Abril,20.8,61.7,23.0,0.793,31,3.8,2533.3,Floresta,Baixo
BA,Caatinga,-10.0855,-41.38418,Outubro,37.9,67.3,119.3,-0.068,63,7.1,4160.5,Pastagem,Baixo
MT,Cerrado/Amazônia,-11.87082,-55.5782,Agosto,26.2,96.5,123.9,-0.084,0,5.1,33.4,Corpo d'Água,Médio
MG,Cerrado,-15.67501,-43.5268,Outubro,16.0,48.9,39.6,0.859,35,1.7,3801.1,Floresta,Baixo
AM,Amazônia,-3.1881,-61.21155,Outubro,23.7,45.0,500.0,0.634,62,11.8,2097.5,Floresta,Alto
AM,Amazônia,-2.66396,-60.83338,Outubro,35.6,30.0,8.0,-0.093,94,37.6,4171.5,Cerrado/Savana,Médio
MT,Cerrado/Amazônia,-15.03503,-56.44622,Outubro,40.9,80.8,112.3,0.701,10,38.0,482.8,Agricultura,Médio
MT,Cerrado/Amazônia,-11.98934,-57.02927,Outubro,22.5,62.9,78.4,0.735,21,33.9,2227.7,Floresta,Médio
PR,Mata Atlântica,-23.71375,-48.66825,Janeiro,21.7,13.2,33.8,0.421,21,0.5,4973.1,Cerrado/Savana,Baixo
BA,Caatinga,-12.37267,-40.66242,Maio,30.2,79.7,21.4,0.862,15,1.1,4741.1,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-10.2706,-56.67765,Fevereiro,36.9,19.0,160.3,-0.016,62,0.4,420.2,Cerrado/Savana,Alto
PR,Mata Atlântica,-26.22269,-50.62633,Novembro,35.2,44.3,297.7,0.655,29,14.7,2869.2,Floresta,Alto
PA,Amazônia,-8.8425,-56.17755,Setembro,30.1,58.6,13.7,0.475,5,39.2,1585.1,Área Urbana,Médio
RS,Pampa,-29.53048,-54.74746,Julho,32.0,10.7,25.9,0.601,15,35.9,3645.1,Agricultura,Médio
RS,Pampa,-32.00275,-51.80015,Outubro,21.5,91.5,500.0,-0.07,0,10.0,38.4,Corpo d'Água,Alto
PA,Amazônia,-6.62212,-52.95171,Agosto,26.7,66.1,1.8,0.179,37,16.4,10.5,Cerrado/Savana,Baixo
GO,Cerrado,-14.16069,-49.48228,Junho,21.9,65.5,85.2,0.671,29,33.0,4230.6,Floresta,Baixo
PR,Mata Atlântica,-26.14898,-49.51834,Setembro,38.9,23.9,87.1,0.506,123,30.3,1125.7,Floresta,Médio
PR,Mata Atlântica,-27.03329,-51.21717,Junho,18.0,31.7,36.6,0.123,18,5.3,4829.9,Cerrado/Savana,Baixo
PA,Amazônia,-7.85013,-52.35152,Julho,33.4,31.0,130.5,0.739,10,4.3,4528.1,Área Urbana,Médio
MG,Cerrado,-18.98794,-42.92664,Julho,22.0,88.1,347.9,0.022,0,21.7,0.1,Corpo d'Água,Alto
CE,Caatinga,-4.01897,-40.53071,Setembro,27.8,15.7,71.8,0.747,7,4.1,3185.3,Agricultura,Baixo
SP,Mata Atlântica,-24.71841,-47.10265,Novembro,23.1,46.4,166.1,0.836,63,33.0,1488.8,Floresta,Alto
PA,Amazônia,-2.72664,-50.3014,Agosto,23.7,84.1,124.6,0.457,28,10.1,523.9,Pastagem,Médio
MT,Cerrado/Amazônia,-14.1324,-55.71966,Janeiro,22.0,75.4,76.9,0.895,82,7.5,4371.3,Pastagem,Baixo
MT,Cerrado/Amazônia,-15.27715,-57.59101,Abril,35.3,79.9,6.1,0.852,8,7.4,912.3,Agricultura,Baixo
BA,Caatinga,-13.97135,-40.09608,Julho,24.9,92.6,162.5,0.172,12,1.8,2110.6,Pastagem,Médio
PA,Amazônia,-7.47608,-52.08597,Novembro,34.6,42.9,54.2,0.769,53,25.7,4621.7,Cerrado/Savana,Baixo
BA,Caatinga,-12.57893,-41.96317,Agosto,27.3,36.3,30.5,0.644,38,6.6,386.0,Floresta,Baixo
PA,Amazônia,-3.03263,-50.09045,Julho,29.8,12.6,355.4,-0.029,30,9.3,2757.4,Agricultura,Alto
PR,Mata Atlântica,-25.10659,-52.06887,Dezembro,29.7,22.8,178.2,0.476,88,30.1,2865.0,Pastagem,Médio
SP,Mata Atlântica,-25.81031,-46.63639,Março,41.3,57.8,393.3,0.877,54,2.3,3817.7,Pastagem,Alto
PR,Mata Atlântica,-21.96005,-51.7431,Abril,24.9,77.9,35.5,-0.065,0,8.1,46.4,Corpo d'Água,Baixo
CE,Caatinga,-4.00686,-41.74625,Dezembro,20.6,72.6,216.8,0.026,46,6.0,2126.5,Cerrado/Savana,Alto
RS,Pampa,-30.68216,-50.5363,Julho,39.6,13.2,112.3,0.471,63,0.2,3721.0,Cerrado/Savana,Médio
AM,Amazônia,-3.31121,-60.983,Agosto,19.7,32.1,478.8,0.703,34,21.6,4553.1,Cerrado/Savana,Alto
PA,Amazônia,-6.44401,-55.35498,Julho,37.5,69.1,351.0,0.75,32,7.6,4432.5,Floresta,Alto
CE,Caatinga,-3.41686,-41.05422,Junho,19.1,31.7,433.3,0.879,30,25.3,2514.1,Floresta,Alto
RS,Pampa,-29.27009,-50.55371,Setembro,32.8,71.9,363.8,0.771,80,20.1,3039.1,Floresta,Alto
GO,Cerrado,-18.32563,-48.26631,Setembro,19.1,94.6,0.9,0.745,41,26.7,3367.3,Floresta,Baixo
SP,Mata Atlântica,-24.39985,-46.54742,Novembro,39.9,77.8,162.2,0.861,58,39.3,4097.4,Floresta,Médio
BA,Caatinga,-13.11727,-39.26611,Julho,30.3,39.1,38.1,0.163,8,8.8,2543.6,Cerrado/Savana,Baixo
